mode,load,0_efficientnet_b6-32,1_inception_v3-16,2_resnet50-2
mps-uncap,0.6,127.28024482727055,76.24866724014284,125.54301261901857
mig,0.6,820.7279300689701,75.18429994583127,23.699290752410903
mps-uncap,0.7,121.74226284027077,120.28885841369646,675.2891850471495
mig,0.7,673.6718654632567,109.69347953796374,28.403160572052027
mps-uncap,0.8,150.8656764030456,253.19563150405915,6571.219949722289
mig,0.8,595.377345085144,241.72378540039062,45.43836832046505
mps-uncap,0.9,158.35688591003418,533.0924153327943,17032.55563735962
mig,0.9,922.4873352050781,278.13784122467047,79.74891662597656
mps-uncap,1.0,314.91993904113804,860.2204370498658,28849.116375446323
mig,1.0,2353.574731349945,866.4525580406182,309.3364000320436
mps-uncap,1.1,292.87570714950544,3899.869813919067,42373.449029922485
mig,1.1,10567.80470609665,8227.367796897888,8352.32789516449
mps-uncap,1.2,469.1226005554204,20375.66468715667,49908.59800100327
mig,1.2,12970.148837566376,15763.795313835142,14516.520748138428
mps-uncap,1.3,459.99813079833984,28877.268652915955,50590.68950176239
mig,1.3,18240.095379352566,20489.73452091217,21680.921068191532
