mode,load,0_efficientnet_b6-32,1_inception_v3-16,2_resnet50-2
mps-uncap,0.6,40.645599365234375,8.48245620727539,4.656314849853516
mig,0.6,79.37812805175781,16.50381088256836,4.878520965576172
mps-uncap,0.7,41.697025299072266,8.563041687011719,4.585981369018555
mig,0.7,79.22077178955078,16.4949893951416,4.87971305847168
mps-uncap,0.8,41.45312309265137,8.589029312133789,4.687309265136719
mig,0.8,79.2837142944336,16.5252685546875,4.822254180908203
mps-uncap,0.9,41.41831398010254,8.503913879394531,4.649162292480469
mig,0.9,79.23173904418945,16.53456687927246,4.8046112060546875
mps-uncap,1.0,41.60785675048828,8.557796478271484,4.602670669555664
mig,1.0,79.49447631835938,16.632080078125,4.873991012573242
mps-uncap,1.1,46.38957977294922,8.58759880065918,4.70423698425293
mig,1.1,79.52094078063965,16.66402816772461,4.871129989624023
mps-uncap,1.2,42.49763488769531,8.613348007202148,4.681587219238281
mig,1.2,79.4675350189209,16.672611236572266,4.901647567749023
mps-uncap,1.3,46.21171951293945,8.449316024780273,4.721403121948242
mig,1.3,79.67066764831543,16.620635986328125,4.9343109130859375
