mode,load,0_efficientnet_b6-32,1_inception_v3-16,2_resnet50-2
mps-uncap,0.6,40.66610336303711,8.5601806640625,4.700183868408203
mig,0.6,79.44297790527344,16.521453857421875,4.899263381958008
mps-uncap,0.7,41.72372817993164,8.631229400634766,4.63414192199707
mig,0.7,79.4370174407959,16.58463478088379,4.931211471557617
mps-uncap,0.8,41.4731502532959,8.673906326293945,4.809141159057617
mig,0.8,79.55217361450195,16.542434692382812,4.852056503295898
mps-uncap,0.9,41.43834114074707,8.557558059692383,6.263971328735352
mig,0.9,79.3914794921875,16.672849655151367,4.8370361328125
mps-uncap,1.0,41.628360748291016,8.619070053100586,4.889011383056641
mig,1.0,80.0011157989502,16.736745834350586,4.898786544799805
mps-uncap,1.1,46.40936851501465,8.827447891235352,12.343168258666992
mig,1.1,79.85186576843262,16.80922508239746,5.022525787353516
mps-uncap,1.2,46.20504379272461,37.221670150756836,13.10276985168457
mig,1.2,79.65445518493652,16.818761825561523,5.050182342529297
mps-uncap,1.3,48.709869384765625,27.91118621826172,11.021137237548828
mig,1.3,79.69498634338379,16.857147216796875,5.144596099853516
