mode,load,0_efficientnet_b6-32,1_inception_v3-16,2_resnet50-2
mps-uncap,0.6,54.63600158691406,34.33585166931152,22.684574127197266
mig,0.6,88.82331848144531,30.517578125,8.502483367919922
mps-uncap,0.7,61.96880340576172,34.06715393066406,22.19986915588379
mig,0.7,84.72633361816406,20.865917205810547,18.37015151977539
mps-uncap,0.8,54.518699645996094,39.02411460876465,20.17521858215332
mig,0.8,89.63584899902344,30.61509132385254,17.436504364013672
mps-uncap,0.9,61.69462203979492,38.17915916442871,25.91729164123535
mig,0.9,88.15193176269531,31.938791275024414,19.28091049194336
mps-uncap,1.0,54.96096611022949,38.315534591674805,20.57790756225586
mig,1.0,88.13762664794922,29.389381408691406,15.625953674316406
mps-uncap,1.1,55.70554733276367,41.64910316467285,24.21116828918457
mig,1.1,84.51461791992188,20.961284637451172,7.069587707519531
mps-uncap,1.2,57.26432800292969,39.93368148803711,28.069734573364258
mig,1.2,87.58759498596191,22.568464279174805,10.546445846557617
mps-uncap,1.3,60.201406478881836,44.0673828125,21.471261978149414
mig,1.3,91.52793884277344,30.686378479003906,16.950607299804688
