mode,load,0_efficientnet_b6-32,1_inception_v3-16,2_resnet50-2
mps-uncap,0.6,233.25574322030323,546.9456594126628,239.19792407303626
mig,0.6,239.73582963698723,551.097168578915,240.85202332440468
mps-uncap,0.7,274.047973114564,637.5161003881566,283.8379096273943
mig,0.7,292.4108777874172,642.3864009901795,276.22125233396446
mps-uncap,0.8,307.1456131548425,741.7944683302132,301.43490043814865
mig,0.8,320.532181904973,728.2852710855008,314.7215166607916
mps-uncap,0.9,345.704964678157,836.4833029467908,288.1744750799261
mig,0.9,349.3041583065956,826.8147698134865,353.37348381897965
mps-uncap,1.0,395.7330106061075,913.663390234655,269.5523915683247
mig,1.0,388.1346776351078,906.4671342778005,390.1003164155267
mps-uncap,1.1,431.7909639027203,948.3561826401846,232.59959421913914
mig,1.1,395.546624876978,927.0299966187354,399.4759717210801
mps-uncap,1.2,485.4443469043173,861.5377600151792,214.54796634215182
mig,1.2,394.210415559937,924.556630293053,394.6518099328301
mps-uncap,1.3,501.28197954157906,816.121385008869,229.30968271918934
mig,1.3,389.8131911989012,918.5151901252524,392.8006471193701
