mode,load,0_resnet101-8,1_mobilenet_v2-2,2_resnet152-4
mps-uncap,1.0,23.91362190246582,12.405157089233398,25.701045989990234
mig,1.0,19.758224487304688,12.022972106933594,29.758930206298828
