mode,load,0_resnet101-8,1_mobilenet_v2-2,2_resnet152-4
mps-uncap,1.0,10.314226150512695,4.166841506958008,14.532327651977539
mig,1.0,12.676239013671875,4.049539566040039,15.848159790039062
