mode,load,0_resnet101-8,1_mobilenet_v2-2,2_resnet152-4
mps-uncap,1.0,776.2968270606179,469.75653402316743,272.2911662883667
mig,1.0,638.0206187957895,492.1025333827594,254.2473147473928
