mode,load,0_resnet101-8,1_mobilenet_v2-2,2_resnet152-4
mps-uncap,1.0,11.725716590881348,5.169253349304199,16.69841766357422
mig,1.0,13.79201889038086,4.395046234130859,16.811470985412598
