mode,load,0_densenet121-32,1_densenet201-4,2_efficientnet_b6-32
mps-uncap,0.6,580.9370221446031,114.12566382343994,142.64828126465508
mig,0.6,572.3781554389524,116.59664475112736,145.63994530545256
mps-uncap,0.7,692.7441434278891,136.041533541927,165.1541418706199
mig,0.7,681.7110381976048,132.21762172636926,159.0657890533403
mps-uncap,0.8,766.5632790936446,142.9140776324427,197.81719022796074
mig,0.8,765.7184334876044,151.7268100801492,202.7616619441824
mps-uncap,0.9,911.9393885295025,129.42984167525913,218.27629155568582
mig,0.9,883.8800443214097,174.1620453786854,207.09287222171002
mps-uncap,1.0,988.6775815855511,127.53538521499584,236.6542649663986
mig,1.0,949.8698055142213,191.96142250607457,230.6513132491754
mps-uncap,1.1,1071.0190577345288,123.38888439545804,242.39469335659183
mig,1.1,980.5239604053766,192.95199288415202,240.04382444083575
mps-uncap,1.2,1037.4574071309812,108.3437639720094,312.6696243441188
mig,1.2,981.6846729244614,192.78228449456685,239.8447758625346
mps-uncap,1.3,1073.1619869705942,102.10625760075041,303.79148045911427
mig,1.3,978.9602335553274,195.2374394525953,239.4010112970276
