mode,load,0_densenet121-32,1_densenet201-4,2_efficientnet_b6-32
mps-uncap,0.6,117.25173950195314,268.8813567161557,151.34239196777344
mig,0.6,206.6205453872682,113.26370239257803,587.2704696655272
mps-uncap,0.7,187.18311309814453,628.0351638793936,159.6748924255371
mig,0.7,319.2668080329897,157.90333747863804,880.4128241539004
mps-uncap,0.8,229.7865319252016,6960.039424896239,174.10943984985352
mig,0.8,321.5229654312121,212.29997634887692,1515.1892018318167
mps-uncap,0.9,303.1827974319458,22921.404705047607,212.0882272720337
mig,0.9,683.5745096206666,337.5897526741023,1533.2156658172612
mps-uncap,1.0,509.82541084289545,29213.293466567993,324.5633220672607
mig,1.0,1049.1814374923708,1338.7634468078616,5274.771347045898
mps-uncap,1.1,816.8783020973202,35388.88608932496,182.58903741836545
mig,1.1,6728.997611999511,7588.316593170166,6681.471467018128
mps-uncap,1.2,10170.85999250412,46185.933938026435,328.5528659820557
mig,1.2,13685.202586650845,14246.129322052004,15611.456899642943
mps-uncap,1.3,12881.303071975708,53939.510481357574,327.886164188385
mig,1.3,16009.550523757935,18400.67687034607,20829.703483581543
