mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,8.833169937133789,9.114742279052734,2.748727798461914
mps-uncap,0.9,9.058952331542969,9.126424789428711,2.72524356842041
mps-uncap,1.0,8.758783340454102,8.752107620239258,2.829313278198242
mps-uncap,0.5,9.108543395996094,8.95071029663086,2.72369384765625
mps-uncap,0.6,8.90040397644043,9.095430374145508,2.6651620864868164
mps-uncap,0.7,8.849859237670898,9.066939353942871,2.6993751525878906
mps-uncap,0.1,15.548944473266602,15.694856643676758,4.356145858764648
mps-uncap,0.2,10.820865631103516,11.037230491638184,4.014730453491211
mps-uncap,0.3,9.480714797973633,9.405374526977539,3.130674362182617
mps-uncap,0.4,9.179234504699707,9.043455123901367,2.8096437454223633
