mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,415.74807287959464,795.3559299802253,2485.572102808715
mps-uncap,0.9,441.2606470831135,869.6687110949856,2825.2397383931097
mps-uncap,1.0,455.2509793213452,910.4601292398061,2805.2444250671497
mps-uncap,0.5,260.4385813752305,513.9902457791137,1571.490973653803
mps-uncap,0.6,314.8090535806337,604.9406152987422,1873.156265705543
mps-uncap,0.7,369.5972108062797,722.3401923523255,2168.114073481045
mps-uncap,0.1,53.46444686845513,101.77294182434805,322.3881507995121
mps-uncap,0.2,107.5448509095712,202.06683873356056,657.360620933661
mps-uncap,0.3,151.68825004877277,308.6515978104336,960.4218265660852
mps-uncap,0.4,212.36742278495439,389.64206924263993,1272.4047334378822
