mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,102.86564826965332,144.7537183761597,27.991533279418952
mps-uncap,0.9,3158.859443664551,1962.768268585205,138.78901004791257
mps-uncap,1.0,7080.6672573089645,6482.018709182739,6171.535849571228
mps-uncap,0.5,29.101085662841797,25.836992263793945,8.776426315307617
mps-uncap,0.6,35.85147857666015,38.31548690795899,11.149358749389648
mps-uncap,0.7,63.65318298339845,64.85376358032227,17.07620620727539
mps-uncap,0.1,25.27928352355957,24.5664119720459,6.0673713684082085
mps-uncap,0.2,21.01154327392578,20.86186408996582,7.462310791015625
mps-uncap,0.3,20.258283615112312,19.543862342834476,7.009983062744141
mps-uncap,0.4,23.441267013549805,21.052789688110355,7.268929481506349
