mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,11.194467544555664,12.263298034667969,5.476474761962891
mps-uncap,0.9,11.299610137939453,12.05754280090332,5.793571472167969
mps-uncap,1.0,11.286735534667969,11.349916458129883,7.989406585693359
mps-uncap,0.5,12.313604354858398,12.279033660888672,5.385637283325195
mps-uncap,0.6,12.216329574584961,12.324810028076172,5.629777908325195
mps-uncap,0.7,11.068344116210938,12.891769409179688,5.673646926879883
mps-uncap,0.1,21.70872688293457,22.89414405822754,8.19849967956543
mps-uncap,0.2,19.7751522064209,22.28379249572754,8.042097091674805
mps-uncap,0.3,18.938779830932617,18.442392349243164,8.77690315246582
mps-uncap,0.4,15.602588653564453,16.235828399658203,8.066892623901367
