mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,167.56532669067377,221.4589118957517,43.43969345092772
mps-uncap,0.9,3528.152389526367,2243.6940908432007,179.8352336883546
mps-uncap,1.0,7792.605428695679,7176.912040710449,6899.523239135742
mps-uncap,0.5,55.14003753662116,44.56736803054803,15.267848968505849
mps-uncap,0.6,67.10291862487801,68.74242782592773,21.221902370452867
mps-uncap,0.7,136.0535049438477,105.6362390518188,27.75545120239258
mps-uncap,0.1,35.99197864532472,37.55183219909669,9.459152221679696
mps-uncap,0.2,34.09162521362305,30.50333261489868,12.05270767211915
mps-uncap,0.3,35.052099227905266,30.648450851440437,11.930775642395012
mps-uncap,0.4,38.34929943084717,32.85145759582519,12.900125980377226
