mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,43.161630630493164,69.57888603210449,11.157751083374023
mps-uncap,0.9,1599.298596382141,1271.1923122406006,75.46710968017578
mps-uncap,1.0,4188.651561737061,3874.750852584839,3316.993236541748
mps-uncap,0.5,13.240814208984375,12.116312980651855,3.823518753051758
mps-uncap,0.6,15.480279922485352,16.526460647583008,4.45711612701416
mps-uncap,0.7,22.446632385253906,25.35390853881836,6.221532821655273
mps-uncap,0.1,16.21842384338379,16.301393508911133,4.415988922119141
mps-uncap,0.2,12.42375373840332,13.148903846740723,4.333019256591797
mps-uncap,0.3,11.081695556640625,10.908126831054688,3.7604570388793945
mps-uncap,0.4,11.069893836975098,10.53166389465332,3.5369396209716797
