mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,8.551597595214844,8.61215591430664,1.9648075103759766
mps-uncap,0.9,8.966207504272461,9.078025817871094,2.3605823516845703
mps-uncap,1.0,9.043455123901367,8.68368148803711,2.3288726806640625
mps-uncap,0.5,8.582830429077148,8.594036102294922,1.9288063049316406
mps-uncap,0.6,8.51893424987793,8.592605590820312,1.9233226776123047
mps-uncap,0.7,8.56328010559082,8.656740188598633,1.9490718841552734
mps-uncap,0.1,8.697748184204102,8.756399154663086,2.3508071899414062
mps-uncap,0.2,8.618593215942383,8.695363998413086,2.2428035736083984
mps-uncap,0.3,8.634567260742188,8.702278137207031,2.0074844360351562
mps-uncap,0.4,8.606672286987305,8.606910705566406,1.9562244415283203
