mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,8.42738151550293,8.569478988647461,1.9252300262451172
mps-uncap,0.9,8.507490158081055,8.621454238891602,1.9295215606689453
mps-uncap,1.0,8.435249328613281,8.46552848815918,1.9459724426269531
mps-uncap,0.5,8.505582809448242,8.53109359741211,1.8973350524902344
mps-uncap,0.6,8.499622344970703,8.525848388671875,1.8947124481201172
mps-uncap,0.7,8.480548858642578,8.587121963500977,1.928091049194336
mps-uncap,0.1,8.640289306640625,8.695840835571289,2.335786819458008
mps-uncap,0.2,8.573770523071289,8.63790512084961,2.2301673889160156
mps-uncap,0.3,8.602142333984375,8.624792098999023,1.983642578125
mps-uncap,0.4,8.539438247680664,8.511066436767578,1.9311904907226562
