mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,192.11959838867188,272.3047733306885,67.82150268554688
mps-uncap,0.9,3574.505567550659,2295.600652694702,216.7956829071045
mps-uncap,1.0,7859.110355377197,7305.202007293701,6950.721025466919
mps-uncap,0.5,78.6440372467041,52.39558219909668,20.777463912963867
mps-uncap,0.6,114.79926109313965,94.86794471740723,55.236101150512695
mps-uncap,0.7,158.59532356262207,132.51733779907227,39.690494537353516
mps-uncap,0.1,41.651010513305664,48.169851303100586,9.293556213378906
mps-uncap,0.2,36.046504974365234,31.56733512878418,14.518260955810547
mps-uncap,0.3,39.31879997253418,32.61399269104004,16.048431396484375
mps-uncap,0.4,49.56769943237305,37.39309310913086,18.757104873657227
