mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,93.92614364624023,135.69231033325195,25.13480186462403
mps-uncap,0.9,3150.240659713745,1953.733205795288,136.03167533874512
mps-uncap,1.0,7071.982383728032,6473.255395889282,6168.66569519043
mps-uncap,0.5,20.05000114440918,17.033290863037106,5.836248397827148
mps-uncap,0.6,26.910400390624993,29.06680107116701,8.203434944152832
mps-uncap,0.7,54.85801696777348,55.57756423950194,14.153528213500977
mps-uncap,0.1,9.877681732177734,9.264707565307617,1.7549991607666018
mps-uncap,0.2,10.070753097534181,9.457230567932129,3.447484970092775
mps-uncap,0.3,10.7043743133545,9.945631027221683,3.637552261352539
mps-uncap,0.4,14.265799522399904,12.010240554809576,4.17890548706055
