mode,load,0_inception_v3-4,1_inception_v3-8,2_resnet18-8
mps-uncap,0.8,9.567351341247559,11.376206874847412,4.366636276245117
mps-uncap,0.9,9.484879970550537,10.300679206848145,3.5494875907897954
mps-uncap,1.0,9.225788116455076,9.126472473144533,3.326170444488526
mps-uncap,0.5,11.091823577880861,10.857212543487549,4.371786117553711
mps-uncap,0.6,10.144224166870119,11.345300674438478,4.337444305419921
mps-uncap,0.7,9.692649841308597,11.35796070098877,4.356880187988281
mps-uncap,0.1,20.305538177490234,20.539450645446777,5.035252571105957
mps-uncap,0.2,18.72537612915039,19.36441659927368,4.852857589721684
mps-uncap,0.3,15.837087631225579,15.884368419647215,4.70290184020996
mps-uncap,0.4,12.464423179626461,13.134040832519497,4.4695210456848145
