mode,load,0_densenet121-32,1_efficientnet_b6-16,2_mobilenet_v3_large-16
mps-uncap,0.8,33.91791343688965,44.64162826538086,16.181547641754147
mps-uncap,0.9,35.83986282348633,43.25579643249512,16.471214294433597
mps-uncap,1.0,35.81036567687988,45.11399269104004,15.95132827758789
mps-uncap,0.5,33.242244720458984,40.73712348937987,14.141683578491206
mps-uncap,0.6,32.9149341583252,43.369481563568115,15.116147994995117
mps-uncap,0.7,34.64468955993652,42.9121208190918,14.781286716461185
mps-uncap,0.1,26.97582244873046,32.637782096862786,9.522995948791502
mps-uncap,0.2,30.39873838424682,33.89183759689332,11.546018123626709
mps-uncap,0.3,30.899400711059567,37.157974243164034,12.472410202026367
mps-uncap,0.4,31.465883255004886,39.454507827758825,13.903512954711916
