mode,load,0_densenet161-4,1_mobilenet_v3_small-8,2_vgg19-4
mps-uncap,0.8,115.6632399559022,19.08763647079467,30.855631828308095
mps-uncap,0.9,159.91520643234233,51.39830827713007,62.51688003540036
mps-uncap,1.0,729.4703578948975,105.27883291244507,238.8937091827393
mps-uncap,0.5,45.30526161193861,17.7932834625244,13.895738124847412
mps-uncap,0.6,47.8048253059386,18.107223510742156,16.077892780303948
mps-uncap,0.7,71.32999897003167,16.755561828613267,25.107827186584483
mps-uncap,0.1,41.829872131347656,12.660465240478517,6.4141178131103525
mps-uncap,0.2,43.929562568664544,15.065503120422385,7.819070816040032
mps-uncap,0.3,45.63564777374257,18.124842643737797,9.124040603637695
mps-uncap,0.4,41.72167301177978,18.814592361450195,11.414480209350593
