mode,load,0_densenet161-4,1_mobilenet_v3_small-8,2_vgg19-4
mps-uncap,0.8,0.012159347534179688,0.008344650268554688,0.00858306884765625
mps-uncap,0.9,0.012636184692382812,0.009059906005859375,0.00858306884765625
mps-uncap,1.0,0.012159347534179688,0.008821487426757812,0.009059906005859375
mps-uncap,0.5,0.011920928955078125,0.00858306884765625,0.009775161743164062
mps-uncap,0.6,0.011205673217773438,0.00858306884765625,0.0095367431640625
mps-uncap,0.7,0.011920928955078125,0.008344650268554688,0.008821487426757812
mps-uncap,0.1,0.02193450927734375,0.011682510375976562,0.010967254638671875
mps-uncap,0.2,0.015497207641601562,0.010967254638671875,0.011205673217773438
mps-uncap,0.3,0.0133514404296875,0.010728836059570312,0.01049041748046875
mps-uncap,0.4,0.012159347534179688,0.010013580322265625,0.009775161743164062
