mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,21.23880386352539,20.162224769592285,4.467964172363281
mig,0.6,30.782222747802734,35.70377826690674,5.473136901855469
mps-uncap,0.7,22.414088249206543,21.56662940979004,4.480123519897461
mig,0.7,30.343294143676758,35.55011749267578,5.107879638671875
mps-uncap,0.8,24.145126342773438,23.369789123535156,4.545927047729492
mig,0.8,30.208587646484375,35.4158878326416,5.105018615722656
mps-uncap,0.9,27.687549591064453,26.7486572265625,4.978656768798828
mig,0.9,30.284404754638672,35.41851043701172,5.123615264892578
mps-uncap,1.0,29.525041580200195,27.807116508483887,5.314111709594727
mig,1.0,30.42769432067871,35.540103912353516,5.147218704223633
mps-uncap,1.1,29.909849166870117,28.071284294128418,5.5561065673828125
mig,1.1,30.466079711914062,35.63737869262695,5.162239074707031
mps-uncap,1.2,29.95014190673828,28.232812881469727,5.671262741088867
mig,1.2,30.49445152282715,35.65239906311035,5.16200065612793
mps-uncap,1.3,30.034780502319336,28.164386749267578,5.843639373779297
mig,1.3,30.47919273376465,35.66277027130127,5.163431167602539
