mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,31.5656566619873,28.329737186431885,8.979749679565439
mig,0.6,32.730042934417725,37.39981651306152,6.834592819213864
mps-uncap,0.7,32.13185787200928,28.86430263519287,9.150736331939695
mig,0.7,32.96937704086304,37.44739770889282,6.78518295288086
mps-uncap,0.8,32.05139160156251,29.145002365112305,9.202480316162106
mig,0.8,32.931416034698486,37.36189842224121,6.6501331329345685
mps-uncap,0.9,32.69355773925781,29.17409896850586,9.212732315063477
mig,0.9,33.098554611206055,37.32421875,6.584129333496093
mps-uncap,1.0,31.565675735473636,29.30058240890503,9.229087829589846
mig,1.0,32.856388092041016,37.24040985107421,6.434764862060543
mps-uncap,1.1,31.088829040527344,29.3689751625061,9.163002967834473
mig,1.1,32.1595573425293,36.87376022338867,5.926783084869382
mps-uncap,1.2,31.01935386657715,29.48451042175293,9.26112174987793
mig,1.2,32.17651367187501,36.900596618652344,5.900242328643821
mps-uncap,1.3,31.027638912200928,29.40377712249756,9.244499206542972
mig,1.3,32.88254737854004,37.38133907318115,6.460895538330078
