mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,77.37624168395996,61.51028633117676,20.01791000366214
mig,0.6,151.30901336669922,181.77341222763076,24.225091934204055
mps-uncap,0.7,107.38116979598995,66.36822462081906,34.41640853881827
mig,0.7,160.38277864456174,265.877110958099,33.97553443908693
mps-uncap,0.8,157.6249408721924,80.75487613677979,42.35599517822265
mig,0.8,218.95771265029927,235.40051460266108,58.048868179321275
mps-uncap,0.9,270.5763053894043,154.11099433898926,190.15395641326904
mig,0.9,702.600383758544,544.062347412109,128.66667747497556
mps-uncap,1.0,1040.4100894927979,208.81805419921884,4134.938097000122
mig,1.0,1000.7565879821772,2056.9218730926505,981.302933692932
mps-uncap,1.1,4131.438255310059,321.22579097747797,16671.946506500244
mig,1.1,9550.471143722532,6653.849010467529,7979.502842426299
mps-uncap,1.2,10067.776079177856,605.7082605361938,25254.4722533226
mig,1.2,14633.70478630066,16567.479782104492,14231.719646453857
mps-uncap,1.3,19142.906363010406,2511.605086326599,30159.587259292603
mig,1.3,21118.10235977173,19898.592603206635,19924.209609031674
