mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,52.88772583007816,45.23794651031494,14.239311218261719
mig,0.6,97.75447845458984,127.87654399871836,16.99986457824708
mps-uncap,0.7,68.35677623748781,49.69699382781985,18.504977226257324
mig,0.7,122.5545883178711,136.0759973526001,22.989511489868168
mps-uncap,0.8,80.94134330749513,61.425209045410156,26.360702514648438
mig,0.8,173.68650436401387,179.30121421813965,34.1775417327881
mps-uncap,0.9,162.22109794616713,104.4519901275635,87.11552619934082
mig,0.9,403.78785133361816,346.9730854034423,69.08807754516603
mps-uncap,1.0,715.6560897827148,153.36055755615234,4006.3502311706543
mig,1.0,814.9710655212402,1748.5700130462649,832.2839260101322
mps-uncap,1.1,3900.6338119506836,217.86248683929443,15280.062246322632
mig,1.1,9252.816104888916,5563.076686859131,7361.31911277771
mps-uncap,1.2,9367.17381477356,356.06541633605946,22708.862948417664
mig,1.2,12982.924127578735,15018.541622161865,12875.677871704102
mps-uncap,1.3,17362.81714439392,1933.0643177032473,27308.76474380493
mig,1.3,19848.17361831665,18137.60805130005,18005.52535057068
