mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,0.013589859008789062,0.01430511474609375,0.010967254638671875
mig,0.6,0.013113021850585938,0.012874603271484375,0.011205673217773438
mps-uncap,0.7,0.011682510375976562,0.012874603271484375,0.011682510375976562
mig,0.7,0.013828277587890625,0.013828277587890625,0.011444091796875
mps-uncap,0.8,0.0133514404296875,0.014543533325195312,0.013113021850585938
mig,0.8,0.0133514404296875,0.01430511474609375,0.011682510375976562
mps-uncap,0.9,0.013828277587890625,0.014543533325195312,0.012159347534179688
mig,0.9,0.014543533325195312,0.012874603271484375,0.011920928955078125
mps-uncap,1.0,0.01430511474609375,0.014781951904296875,0.015020370483398438
mig,1.0,0.014781951904296875,0.015497207641601562,0.011682510375976562
mps-uncap,1.1,0.0152587890625,0.01430511474609375,0.01430511474609375
mig,1.1,0.01811981201171875,0.02002716064453125,0.0152587890625
mps-uncap,1.2,0.014781951904296875,0.014781951904296875,0.015974044799804688
mig,1.2,0.015020370483398438,0.0247955322265625,0.014781951904296875
mps-uncap,1.3,0.019311904907226562,0.0152587890625,0.017642974853515625
mig,1.3,0.026941299438476562,0.018596649169921875,0.0152587890625
