mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,29.351997375488292,24.116683006286642,9.315967559814453
mig,0.6,67.11530685424805,92.1590805053711,11.594343185424812
mps-uncap,0.7,45.16210556030274,26.449990272521983,13.432884216308596
mig,0.7,91.87679290771489,100.53822994232178,17.642974853515625
mps-uncap,0.8,56.21781349182129,37.40072250366211,21.1172103881836
mig,0.8,142.94192790985113,144.02728080749515,28.83818149566651
mps-uncap,0.9,134.3288898468018,77.87108421325688,81.65550231933594
mig,0.9,372.79725074768066,310.5443477630615,63.771724700927734
mps-uncap,1.0,686.4753723144532,125.95198154449463,4000.4471778869633
mig,1.0,783.4013462066652,1712.837553024292,826.6533374786379
mps-uncap,1.1,3871.182918548584,189.32254314422607,15274.936723709106
mig,1.1,9222.587299346924,5527.400016784668,7356.029510498047
mps-uncap,1.2,9337.182283401491,328.040552139282,22700.369143486023
mig,1.2,12952.390098571777,14982.791519165039,12870.499324798584
mps-uncap,1.3,17332.901024818424,1905.3983211517336,27302.521228790283
mig,1.3,19817.823886871338,18101.550459861755,18000.373268127445
