mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,28.391838073730476,26.215076446533203,6.442546844482422
mig,0.6,31.891942024230957,36.48355007171631,6.026554107666016
mps-uncap,0.7,29.43241596221924,27.259588241577152,6.625151634216309
mig,0.7,31.911802291870114,36.4001989364624,5.922842025756836
mps-uncap,0.8,29.833698272705078,27.82893180847168,6.8562030792236355
mig,0.8,31.82387351989746,36.3832950592041,5.854606628417969
mps-uncap,0.9,30.381202697753906,28.277111053466797,7.209062576293945
mig,0.9,31.790733337402344,36.27901077270508,5.622196197509766
mps-uncap,1.0,30.417299270629883,28.6679744720459,7.388734817504883
mig,1.0,31.431913375854492,36.24544143676758,5.589723587036133
mps-uncap,1.1,30.554771423339844,28.824377059936523,7.525539398193359
mig,1.1,31.246471405029297,36.07635498046875,5.5637359619140625
mps-uncap,1.2,30.480146408081055,28.913021087646484,7.622432708740234
mig,1.2,31.26516342163086,36.08589172363281,5.570888519287109
mps-uncap,1.3,30.5112361907959,28.858423233032227,7.687807083129883
mig,1.3,31.56113624572754,36.383986473083496,5.608081817626953
