mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,14.67442512512207,17.293453216552734,3.997802734375
mig,0.6,29.488325119018555,34.841060638427734,4.929780960083008
mps-uncap,0.7,14.714479446411133,17.182111740112305,3.9834976196289062
mig,0.7,29.56867218017578,34.809112548828125,4.932165145874023
mps-uncap,0.8,14.727592468261719,17.268657684326172,3.9415359497070312
mig,0.8,29.505252838134766,34.76667404174805,4.924774169921875
mps-uncap,0.9,14.754056930541992,17.087697982788086,4.043340682983398
mig,0.9,29.53195571899414,34.85536575317383,4.925012588500977
mps-uncap,1.0,17.222881317138672,17.459869384765625,4.010915756225586
mig,1.0,29.57320213317871,34.84034538269043,4.923105239868164
mps-uncap,1.1,16.87479019165039,17.474651336669922,4.00233268737793
mig,1.1,29.756546020507812,34.97648239135742,5.049943923950195
mps-uncap,1.2,16.099214553833008,18.355607986450195,4.047155380249023
mig,1.2,29.817581176757812,34.94381904602051,5.045175552368164
mps-uncap,1.3,20.470380783081055,24.785280227661133,4.073381423950195
mig,1.3,29.780149459838867,34.99650955200195,5.037069320678711
