mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,26.202917098999023,23.916006088256836,6.690502166748047
mig,0.6,41.34476184844971,54.8015832901001,7.589578628540039
mps-uncap,0.7,29.5412540435791,25.528788566589355,7.699251174926758
mig,0.7,51.15926265716553,61.28954887390137,9.49239730834961
mps-uncap,0.8,33.29730033874512,27.36353874206543,9.587526321411133
mig,0.8,68.52126121520996,73.85849952697754,12.874960899353027
mps-uncap,0.9,54.46600914001465,38.57016563415527,22.678852081298828
mig,0.9,120.89753150939941,124.79639053344727,22.083044052124023
mps-uncap,1.0,153.26404571533203,55.53305149078369,3009.6793174743652
mig,1.0,343.92571449279785,496.81663513183594,122.53403663635254
mps-uncap,1.1,1700.3750801086426,82.02898502349854,8335.942029953003
mig,1.1,4803.826570510864,1411.695957183838,3702.8262615203857
mps-uncap,1.2,4994.703769683838,123.63100051879883,12574.646949768066
mig,1.2,7075.1965045928955,8949.686050415039,6606.516122817993
mps-uncap,1.3,8219.981670379639,577.6450634002686,14845.0767993927
mig,1.3,10099.592924118042,9893.458604812622,9340.281248092651
