mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,157.85670280456543,93.9335823059082,42.26398468017578
mig,0.6,202.50797271728516,245.2559471130371,46.317100524902344
mps-uncap,0.7,185.37402153015137,101.03845596313477,75.24943351745605
mig,0.7,234.7249984741211,337.22853660583496,59.661149978637695
mps-uncap,0.8,241.07980728149414,112.32924461364746,84.81884002685547
mig,0.8,267.37141609191895,344.6342945098877,77.70991325378418
mps-uncap,0.9,377.255916595459,204.69236373901367,263.94033432006836
mig,0.9,836.2140655517578,652.9605388641357,163.74540328979492
mps-uncap,1.0,1291.6321754455566,276.752233505249,4177.556991577148
mig,1.0,1153.3112525939941,2164.580821990967,1042.4036979675293
mps-uncap,1.1,4195.249080657959,401.6702175140381,16789.875268936157
mig,1.1,9630.849599838257,6791.71347618103,8110.564708709717
mps-uncap,1.2,10236.786127090454,683.32839012146,25397.623300552368
mig,1.2,14873.58283996582,16671.401500701904,14403.141021728516
mps-uncap,1.3,19451.31230354309,2622.53475189209,30468.523025512695
mig,1.3,21259.30619239807,20240.88454246521,20160.459518432617
