mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,97.17462539672852,85.28731822967524,25.425338745117188
mig,0.6,181.4584732055664,216.81214809417725,29.62199211120604
mps-uncap,0.7,130.16790151596066,90.6263637542723,39.84492301940917
mig,0.7,192.14796543121335,301.0616445541378,39.16895866394044
mps-uncap,0.8,182.32336997985846,108.59131813049316,47.8820419311523
mig,0.8,249.19212341308602,271.5095901489257,63.49994182586667
mps-uncap,0.9,300.5794048309326,181.17852210998524,195.7833766937256
mig,0.9,732.6657295227043,579.5767068862912,134.10260200500483
mps-uncap,1.0,1070.3905105590823,235.57406425476083,4140.310440063477
mig,1.0,1030.920801162719,2092.4675083160396,986.6572332382196
mps-uncap,1.1,4156.766653060913,349.9954581260678,16677.68608570099
mig,1.1,9580.974130630493,6689.464206695557,7984.65401649475
mps-uncap,1.2,10096.785917282104,634.5152711868286,25261.47248506546
mig,1.2,14664.41572189331,16603.22687149048,14236.896069049835
mps-uncap,1.3,19173.632278442383,2538.0864477157593,30165.42407989502
mig,1.3,21150.226831436157,19935.05495786667,19929.728589057922
