mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,33.10656547546387,32.198429107666016,17.57359504699707
mig,0.6,34.02972221374512,48.21896553039551,15.443563461303711
mps-uncap,0.7,34.01756286621094,31.010150909423828,13.541698455810547
mig,0.7,45.111894607543945,49.31020736694336,18.629074096679688
mps-uncap,0.8,43.01643371582031,38.56849670410156,21.480321884155273
mig,0.8,43.43771934509277,48.62332344055176,17.911195755004883
mps-uncap,0.9,38.04206848144531,35.759687423706055,14.847040176391602
mig,0.9,43.89166831970215,46.187400817871094,18.833160400390625
mps-uncap,1.0,34.02304649353027,31.18157386779785,13.35287094116211
mig,1.0,44.72041130065918,47.149658203125,18.530845642089844
mps-uncap,1.1,43.01023483276367,38.424015045166016,17.914295196533203
mig,1.1,45.17316818237305,49.40938949584961,20.424604415893555
mps-uncap,1.2,41.9003963470459,38.44189643859863,19.204378128051758
mig,1.2,43.02978515625,49.697160720825195,16.02959632873535
mps-uncap,1.3,41.718482971191406,38.07950019836426,20.130395889282227
mig,1.3,42.835235595703125,42.687416076660156,17.568349838256836
