mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,179.8253059387207,111.3901138305664,47.2569465637207
mig,0.6,232.45620727539062,280.64513206481934,51.867008209228516
mps-uncap,0.7,206.33482933044434,120.98431587219238,80.69038391113281
mig,0.7,264.36400413513184,372.1280097961426,65.19269943237305
mps-uncap,0.8,268.0034637451172,140.05589485168457,89.76483345031738
mig,0.8,297.12963104248047,379.89163398742676,83.0540657043457
mps-uncap,0.9,402.36353874206543,232.27810859680176,270.55978775024414
mig,0.9,866.497278213501,687.9556179046631,168.88713836669922
mps-uncap,1.0,1321.9079971313477,305.4852485656738,4181.60605430603
mig,1.0,1183.7966442108154,2199.9528408050537,1047.5010871887207
mps-uncap,1.1,4217.278242111206,430.15074729919434,16795.279264450073
mig,1.1,9661.610126495361,6827.381372451782,8116.626262664795
mps-uncap,1.2,10257.572889328003,710.5069160461426,25410.799503326416
mig,1.2,14903.600454330444,16707.08465576172,14408.316850662231
mps-uncap,1.3,19474.435329437256,2651.324987411499,30482.149362564087
mig,1.3,21289.581537246704,20277.10247039795,20170.47905921936
