mode,load,0_resnet152-16,1_efficientnet_b6-8,2_mobilenet_v2-8
mps-uncap,0.6,315.8983253302787,137.9486297983728,920.9566058317779
mig,0.6,301.4129881683654,140.5459598145371,909.8930213175963
mps-uncap,0.7,358.16259620504184,158.7741118097143,1055.4829676997456
mig,0.7,362.01399957993976,154.8493612328963,1067.9416309451597
mps-uncap,0.8,403.4979097524565,177.0172501055819,1190.946495839088
mig,0.8,408.5344727618765,174.06047105218062,1196.4500476712242
mps-uncap,0.9,470.98290339265805,202.2034122748472,1357.0284118471768
mig,0.9,472.5902638168534,197.54134629147356,1348.9926921163708
mps-uncap,1.0,535.1343213891123,223.43147868676013,1428.1063324306203
mig,1.0,509.9335463831088,219.71015468077096,1503.498437099073
mps-uncap,1.1,558.4950604891208,245.01405946299028,1360.2806846226924
mig,1.1,522.7850588089298,223.92675276287258,1528.2642891889138
mps-uncap,1.2,549.958645395698,261.26199134814607,1326.1937128153945
mig,1.2,521.5894451392853,224.08821468888445,1527.8615316946054
mps-uncap,1.3,536.4955912729295,279.51328571271415,1296.6158822672264
mig,1.3,521.1045104981164,223.21409084788814,1514.8098897610878
