mode,load,0_efficientnet_b7-16,1_squeezenet1_0-4,2_vgg19-2
mps-uncap,0.8,497.2411274909977,90.5004191398619,64.53280448913574
mps-uncap,0.9,858.3596229553215,407.05574274063105,862.4753689765929
mps-uncap,1.0,5318.104374408722,6604.229164123535,5807.283549308777
mps-uncap,0.5,81.95922851562503,12.239189147949192,14.54756736755371
mps-uncap,0.6,118.47561836242674,18.586504459381064,20.435266494750962
mps-uncap,0.7,237.58330345153834,29.39679861068725,32.156982421874986
mps-uncap,0.1,29.497642517089854,3.6723732948303205,3.1606721878051767
mps-uncap,0.2,29.94566917419435,5.4107403755188015,3.889055252075191
mps-uncap,0.3,43.90498161315924,6.930670738220213,7.944097518920902
mps-uncap,0.4,84.61534738540645,8.725006580352783,11.367225646972681
