mode,load,0_squeezenet1_1-32,1_efficientnet_b5-16,2_resnet152-2
mps-uncap,1.0,4086.1226330241075,571.7579818151332,74.05078924319638
mig,1.0,4167.356739441562,299.84385903501686,147.1706061656222
