mode,load,0_squeezenet1_1-32,1_efficientnet_b5-16,2_resnet152-2
mps-uncap,1.0,18.967390060424805,40.0238037109375,37.61744499206543
mig,1.0,12.979745864868164,56.719303131103516,19.148826599121094
