mode,load,0_squeezenet1_1-32,1_efficientnet_b5-16,2_resnet152-2
mps-uncap,1.0,18.967151641845703,40.0238037109375,37.61744499206543
mig,1.0,12.979507446289062,56.719064712524414,19.148588180541992
