mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,3.902912139892578,6.568431854248047,3.6308765411376953
mps-uncap,0.9,3.882884979248047,6.357669830322266,4.097938537597656
mps-uncap,1.0,3.8955211639404297,5.960702896118164,3.8483142852783203
mps-uncap,0.5,3.5643577575683594,8.121490478515625,4.077672958374023
mps-uncap,0.6,3.4308433532714844,8.049726486206055,3.7343502044677734
mps-uncap,0.7,3.6356449127197266,7.619619369506836,3.5326480865478516
mps-uncap,0.1,2.7074813842773438,8.410215377807617,3.6499500274658203
mps-uncap,0.2,2.7396678924560547,10.025262832641602,3.949880599975586
mps-uncap,0.3,3.7713050842285156,8.508682250976562,4.254817962646484
mps-uncap,0.4,3.814220428466797,8.159875869750977,4.374027252197266
