mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,34.41166877746582,28.008699417114258,26.850461959838867
mps-uncap,0.9,51.37801170349121,39.90983963012695,34.84034538269043
mps-uncap,1.0,128.98826599121094,58.3493709564209,116.22786521911621
mps-uncap,0.5,19.051074981689453,26.068687438964844,17.723798751831055
mps-uncap,0.6,21.1637020111084,30.110597610473633,17.79031753540039
mps-uncap,0.7,15.903234481811523,24.877309799194336,16.358137130737305
mps-uncap,0.1,3.5588741302490234,12.730121612548828,5.766391754150391
mps-uncap,0.2,5.347967147827148,22.293806076049805,8.105754852294922
mps-uncap,0.3,9.379863739013672,26.874542236328125,17.267227172851562
mps-uncap,0.4,10.012149810791016,27.79078483581543,14.157772064208984
