mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,2.641439437866211,4.723310470581055,2.740359306335449
mps-uncap,0.9,2.6879310607910156,4.740715026855469,2.744913101196289
mps-uncap,1.0,2.6967525482177734,5.013465881347656,2.7625560760498047
mps-uncap,0.5,2.5484561920166016,6.655979156494141,3.1422853469848633
mps-uncap,0.6,2.5167465209960938,5.731821060180664,2.9636383056640625
mps-uncap,0.7,2.6094913482666016,4.980802536010742,2.7590036392211914
mps-uncap,0.1,2.3926496505737305,7.71331787109375,3.2529592514038086
mps-uncap,0.2,2.441883087158203,7.321262359619141,3.1017303466796875
mps-uncap,0.3,2.4629831314086914,7.167625427246094,3.1874895095825195
mps-uncap,0.4,2.5184154510498047,7.044935226440431,3.140687942504883
