mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,9444.86571887914,602.8713700693829,1151.3509207333616
mps-uncap,0.9,10832.026238700071,673.5070666029565,1334.0765332839524
mps-uncap,1.0,11977.263771649923,770.2223926518317,1451.5938856489902
mps-uncap,0.5,6016.827238615411,381.365254976265,741.7589872689148
mps-uncap,0.6,7201.721887226594,457.3110556141002,872.6950238616747
mps-uncap,0.7,8197.096014682716,523.5524926462446,1038.997673125492
mps-uncap,0.1,1195.5220543621112,77.18207662471761,147.16180019174035
mps-uncap,0.2,2418.5780511031285,145.44819179619486,296.7494397510639
mps-uncap,0.3,3650.400489349074,226.75786811165366,442.0388485247472
mps-uncap,0.4,4745.337197428881,303.2851675161348,583.3259350381179
