mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,2.1843910217285156,2.714395523071289,1.1243820190429688
mps-uncap,0.9,2.1822452545166016,2.768278121948242,1.1374950408935547
mps-uncap,1.0,2.184629440307617,2.7420520782470703,1.1417865753173828
mps-uncap,0.5,2.190113067626953,2.7930736541748047,1.1343955993652344
mps-uncap,0.6,2.1851062774658203,2.7670860290527344,1.1417865753173828
mps-uncap,0.7,2.179861068725586,2.728700637817383,1.1279582977294922
mps-uncap,0.1,2.192258834838867,2.8145313262939453,1.1472702026367188
mps-uncap,0.2,2.1855831146240234,2.7763843536376953,1.135110855102539
mps-uncap,0.3,2.1851062774658203,2.748250961303711,1.1441707611083984
mps-uncap,0.4,2.1903514862060547,2.7768611907958984,1.1453628540039062
