mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,2.1691322326660156,2.6688575744628906,1.1126995086669922
mps-uncap,0.9,2.1669864654541016,2.727031707763672,1.1248588562011719
mps-uncap,1.0,2.1681785583496094,2.6891231536865234,1.1281967163085938
mps-uncap,0.5,2.174854278564453,2.7403831481933594,1.119852066040039
mps-uncap,0.6,2.1729469299316406,2.7055740356445312,1.1286735534667969
mps-uncap,0.7,2.164125442504883,2.685070037841797,1.1169910430908203
mps-uncap,0.1,2.179861068725586,2.7403831481933594,1.1310577392578125
mps-uncap,0.2,2.1719932556152344,2.743959426879883,1.1167526245117188
mps-uncap,0.3,2.1736621856689453,2.7201175689697266,1.1305809020996094
mps-uncap,0.4,2.17437744140625,2.765655517578125,1.1296272277832031
