mode,load,0_alexnet-32,1_mobilenet_v3_large-4,2_resnet18-4
mps-uncap,0.8,2.4673938751220703,3.588438034057617,2.289414405822754
mps-uncap,0.9,2.5281906127929688,3.734111785888672,2.4275779724121094
mps-uncap,1.0,2.6140213012695312,4.050016403198242,2.575397491455078
mps-uncap,0.5,2.3717880249023438,4.7206878662109375,2.7358531951904297
mps-uncap,0.6,2.3741722106933594,4.549980163574219,2.4785995483398438
mps-uncap,0.7,2.406597137451172,3.7877559661865234,2.1848678588867188
mps-uncap,0.1,2.261996269226074,7.033109664916992,2.9276609420776367
mps-uncap,0.2,2.2537708282470703,6.790399551391602,2.8340816497802734
mps-uncap,0.3,2.2933483123779297,6.635189056396484,2.8771162033081055
mps-uncap,0.4,2.3283958435058594,5.719423294067383,2.791285514831543
