mode,load,0_resnet50-16,1_resnet50-8,2_squeezenet1_1-32
mps-uncap,0.8,872.7738164120111,509.28299382858916,3332.389942600862
mps-uncap,0.9,1059.9549116248738,566.0432541714022,3756.7066776563784
mps-uncap,1.0,1108.3826664651226,559.9032021564136,3600.841104926477
mps-uncap,0.5,566.7846204883418,313.32031235793835,2056.9979784906295
mps-uncap,0.6,664.0399636347353,383.21954440547773,2474.940521043182
mps-uncap,0.7,774.0056377920023,450.74851582974486,2948.3579943971595
mps-uncap,0.1,129.69924886628232,64.1045488146436,411.77020213649973
mps-uncap,0.2,231.25029421495196,134.96328674907429,831.6989201605245
mps-uncap,0.3,344.0114894112924,189.3648687931691,1265.494199852783
mps-uncap,0.4,456.84923345560225,253.42908415588235,1612.3843853650205
