mode,load,0_resnet50-16,1_resnet50-8,2_squeezenet1_1-32
mps-uncap,0.8,161.99374198913574,209.6707820892334,204.9708366394043
mps-uncap,0.9,952.0847797393799,3215.407133102417,243.76940727233887
mps-uncap,1.0,2904.1686058044434,9079.06174659729,7024.7790813446045
mps-uncap,0.5,67.34204292297363,37.322282791137695,32.24658966064453
mps-uncap,0.6,63.45319747924805,59.41486358642578,49.738168716430664
mps-uncap,0.7,104.02822494506836,94.15388107299805,77.72135734558105
mps-uncap,0.1,35.33506393432617,25.16317367553711,20.061969757080078
mps-uncap,0.2,36.16786003112793,36.32378578186035,18.57900619506836
mps-uncap,0.3,38.61188888549805,34.60955619812012,30.428409576416016
mps-uncap,0.4,52.48117446899414,38.27857971191406,35.2933406829834
