mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,2738.631325473842,228.50277523457663,2746.2687163470846
mig,1.0,2395.4224085903356,299.9289818328444,2618.2858505430845
