mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,18.574953079223633,47.76883125305176,17.601966857910156
mig,1.0,18.206357955932617,34.38258171081543,16.573190689086914
