mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,0.000476837158203125,0.0035762786865234375,0.00095367431640625
mig,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
