mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,12.771916389465332,36.46230697631836,12.675142288208008
mig,1.0,14.095497131347656,27.04160213470459,12.940835952758789
