mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,18.575191497802734,47.76906967163086,17.601966857910156
mig,1.0,18.20659637451172,34.38282012939453,16.573429107666016
