mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,11.557936668395996,34.95192527770996,11.51895523071289
mig,1.0,13.151884078979492,26.60536766052246,12.031316757202148
