mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,12.77167797088623,36.46221160888672,12.675142288208008
mig,1.0,14.095258712768555,27.04136371612549,12.940764427185059
