mode,load,0_squeezenet1_0-32,1_resnet152-8,2_squeezenet1_1-32
mps-uncap,1.0,13.985588550567627,43.64007949829101,14.025487899780272
mig,1.0,15.530099868774414,27.79731035232544,14.2942476272583
