mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,389.03355598449707,83.07743072509766,240.0991916656494
mps-uncap,0.9,8463.831901550293,625.5061626434326,864.5496368408203
mps-uncap,1.0,11809.437274932861,3774.407386779785,7741.038084030151
mps-uncap,0.5,39.20865058898926,36.80920600891113,55.07850646972656
mps-uncap,0.6,56.68282508850098,56.35833740234375,75.27828216552734
mps-uncap,0.7,66.80631637573242,66.45083427429199,103.46555709838867
mps-uncap,0.1,22.082805633544922,23.957252502441406,14.390945434570312
mps-uncap,0.2,29.062747955322266,27.377843856811523,26.093721389770508
mps-uncap,0.3,28.224945068359375,26.33833885192871,29.51502799987793
mps-uncap,0.4,27.4350643157959,19.989967346191406,37.1241569519043
