mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,394.6373462677002,87.22758293151855,249.83978271484375
mps-uncap,0.9,8472.188949584961,630.3215026855469,873.5284805297852
mps-uncap,1.0,11819.799184799194,3779.3326377868652,7750.062942504883
mps-uncap,0.5,43.357133865356445,40.97151756286621,63.52543830871582
mps-uncap,0.6,61.08856201171875,60.96339225769043,82.92484283447266
mps-uncap,0.7,72.1437931060791,70.62888145446777,113.21234703063965
mps-uncap,0.1,31.734228134155273,33.20145606994629,25.413990020751953
mps-uncap,0.2,36.17429733276367,34.8508358001709,34.18231010437012
mps-uncap,0.3,32.3789119720459,30.807018280029297,36.57221794128418
mps-uncap,0.4,31.54897689819336,24.40619468688965,46.067237854003906
