mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,350.60569286346436,63.10314655303953,200.8809280395508
mps-uncap,0.9,8372.923703193665,604.0429258346556,811.2997388839722
mps-uncap,1.0,11659.268884658812,3727.280194759369,7630.894784927368
mps-uncap,0.5,23.160791397094723,23.52334976196295,33.143312931060734
mps-uncap,0.6,36.141366958618164,32.46511697769163,47.2683906555176
mps-uncap,0.7,49.47272300720214,41.657447814941506,86.90562248229988
mps-uncap,0.1,22.466325759887695,25.217831134796143,18.997545242309574
mps-uncap,0.2,24.39442634582517,24.288306236267115,22.18306541442871
mps-uncap,0.3,21.469254493713375,22.43272066116333,25.170183181762667
mps-uncap,0.4,18.104910850524902,18.647072315216064,28.88188362121581
