mode,load,0_mobilenet_v2-4,1_mobilenet_v3_small-16,2_resnet34-32
mps-uncap,0.8,8.20779800415039,9.599924087524414,15.149116516113281
mps-uncap,0.9,8.357048034667969,9.737730026245117,13.828277587890625
mps-uncap,1.0,10.361909866333008,8.661746978759766,13.470888137817383
mps-uncap,0.5,8.225679397583008,11.948823928833008,14.050006866455078
mps-uncap,0.6,8.33439826965332,11.110544204711914,14.06097412109375
mps-uncap,0.7,7.384538650512695,10.771512985229492,14.438629150390625
mps-uncap,0.1,13.455629348754883,13.069391250610352,14.773845672607422
mps-uncap,0.2,13.319730758666992,12.445688247680664,13.40627670288086
mps-uncap,0.3,9.929418563842773,12.448549270629883,14.04714584350586
mps-uncap,0.4,8.84103775024414,10.474920272827148,14.002561569213867
